,date,developerResponse,review,rating,isEdited,title,userName
0,2020-09-10 04:44:14,"{'id': 19026103, 'body': ""No, it's not necessary to have 4-6 ads.  That's an issue we would like to address so please feel free to reach out to us at app@vice.com with details on the ads you're seeing so we can address them on the server side!"", 'modified': '2020-11-10T20:34:42Z'}",I love Vice! You guys have some amazing content but is it really necessary to have 4 to 6 ads in 6 minute long video and if I come back to the same video I have to watch all those same ads over again. It really takes some of the enjoyment away from viewing your content,3,False,Great but...,Oversilence
1,2023-09-29 18:40:15,,"I gave it a shot considering how fantastic vice journalism is but seriously, it’s 2023, and your the only news agency I know that doesn’t have a decent functioning app. Seriously considering giving up on vice altogether because the website looks so messy on my tablet (ergo why I took the chance on the app). You can’t create an account, the tabs don’t work, nothing functions. And from these reviews it seems they haven’t tried to fix anything in at least 4 years. If you’re going to just give up, take it down. The only reason I gave it two stars was because the second time I used it I was able to read 3 articles before it crashed and everything stopped working again. And I love(d) vice and the journalists working really hard to put this stuff out deserve credit. What a waste of these journalist’s hard work. What a way to let them and your readers down. Seriously, are you TRYING to self sabotage?",2,False,What is happening with this app,Bairock1
2,2021-01-22 18:35:12,,"Love vice news and their investigative journalism, the app is easy to use, and has lots of interesting articles. 

However, they don’t seem to have proofreaders or editors checking the articles before uploading them. There are articles where the same paragraphs are repeated over and over, word misspellings (Vile instead of vial) that wouldn’t be picked up by Word but an editor could easily proof, and symbols in weird places. Even the biggest news organizations make mistakes, but when half an article is just duplicate paragraphs, kind of makes you not want to read or share it.",5,False,"Great app, needs better editors",PLIFIT
3,2023-01-12 17:22:17,,"I downloaded the app and tried to create an account. The app looks nice; however, I can’t even create an account in order to view the articles. I tried my email address, my google, Facebook, and apple account, yet none of them allowed me to create an account or access the app. What’s the point in even having an account if it doesn’t even work? I also noticed that the last bug update for the app was a year ago! That doesn’t really help to raise confidence levels either. It looks like you hired someone to handle creating an app, they either quit or got fired and you said “F it” and gave up on rehiring someone. Hopefully you can get it together and fix the app soon because it can truly be a good place to get great information from.",1,False,App doesn’t work at all,Michelebella1977
4,2021-07-16 01:34:04,,"I am in the middle of politics. I struggle between Democrats and conservatives. Besides one thing. Not every single tiny story, should have to do with American politics. Not everything Biden says is good. Not every thing Trump says is bad. Yes, a lot of what Trump has said is bad. A lot of what Biden said is good. But if you’re going to be biased, at least have the common decency to not lie. Even if you make up little details. Which Vice has been proven to do. As a news site, you have an obligation to want what’s best for this country, and it’s people. So call out people on their bluff, and be on your way, and don’t be 100% biased on one side, since that can lead to brainwashing. Which in my opinion, is evil. Be optimistic.",1,False,It’s not really news.,WOWE!
5,2022-12-28 14:07:14,,"Signing in with my Google account doesn’t work: After tapping my Google account name it just drops me back to the prior screen without signing me in.  
Jumping to sections like World News or Motherboard (tech) doesn’t work: Tapping those respective headers at the top of the screen does nothing but briefly show a “Just One Moment” dialogue. Then nothing. 
Reading articles doesn’t work: Tapping on an article briefly brings up a white screen as if it is about to load. Then it falls back to the prior screen. So I can’t read the articles. I tried about 20 times for different articles. And eventually only one ever worked.",1,False,Flat out doesn’t work,DannyGGGT
6,2021-05-20 17:43:33,"{'id': 23334126, 'body': ""Hi SpecialFlav - we're aware of this annoyance and are working on ways to address this.  Hopefully will have an update soon."", 'modified': '2021-06-11T17:36:56Z'}","The ‘for you’ tab is constantly loading ads in the background. That’s not a problem. You have a right to make money. The problem is when it loads a new ad that I have already scrolled past and that ad is a different size, it moves the article I am reading out of view. The page refreshes and I’m lost. This isn’t isolated, it’s constant. To the point where I lose articles all the time I am trying to read. I generally give up and go somewhere else. Shame because I love vice news.",2,False,Loading Ads Move The Content I Am Reading,SpecialFlav
7,2022-07-22 02:37:43,,"When I can get it to work, it is great. But, I think I can get the app to load 1/10 times, I try. I have tried both WiFi and mobile data, restarting my phone, deleting and  reinstalling the app and get the same thing. The Vice shows up in the beginning as if it is going to load  and then I get a black screen. I will probably just delete the app and go the mobile site as that is usually what I end up having to do anyways.",2,False,App Fails to Load,TheBSquad
8,2021-07-14 05:42:02,"{'id': 5481413, 'body': 'Hey there - we’ve been working on updating the app and if you’re interested in participating in a beta program please contact us at app@vice.com!', 'modified': '2018-10-13T00:02:51Z'}","I’ve had the various Vice news apps for years and they’ve never worked properly. It used to never load Twitter content - articles referencing Twitter posts just showed a bunch of blank space. 

Now this new app loads ads in the feed in a way that causes the page to scroll up and down despite screen input. Before you can even ride the article title it’s already shot off screen to load and ad :(",2,True,Buggy Vice apps for years,Jkhaz
9,2023-04-23 04:39:39,,"Just like everyone else, I couldn’t create an account.  It just keeps asking me to create one.  The search bar does absolutely nothing.  If you type anything into it, nothing ever loads and the top tabs with categories does do anything. It just as the same news articles as the front page.  It just gives a loading screen and does nothing.  Kinda ridiculous when the very basic concepts of the app fails.  Seriously, who made this??",1,False,App just doesn’t work,richardtwister
10,2022-09-12 17:42:46,,"Literally every article I read, is diverting me to the App Store. The tiny add in the middle of the screen sends me to the App Store, twice in most instances. It’s not even me touching the ad, it’s like the ad appears on my screen and it’s time for a redirect! Each time I open Vice, the app takes a bit to load due to lag, and when it’s done, it sends me to an article I didn’t click on because all the new articles show up all at once. Why?",1,False,Why do I keep getting sent to the App Store?,DeJesus Louisa
11,2023-04-02 12:26:25,,"I love Vice and what it does in the world but they really need to invest in their mobile development teams or just stick to web format. From trouble getting the federated authentication to work to trying to filter stories based on topic, there was broken functionality everywhere. I hate to say it but there’s still much work to be done.",2,False,For real?  Not ready for public release,Cr4zyN8
12,2023-05-03 20:44:25,,"This is the best source of all the news that they don’t want you to know and all the news that they’re talking about all in the same place, ain’t that amazing though??",5,False,Vice News,Submarine Chaplain
13,2021-10-21 15:28:00,,I think this app will be big within couple years and become major media content rich app. Congratulations to those developers.,5,False,"Excellent web contents, technically solid and vibe",jh20060101
14,2020-08-17 22:06:03,"{'id': 17332425, 'body': ""Hi Ejay2215 - we've just rolled out complete rewrite which now includes a search feature. Please update the app to the latest release and let us know if this works for you!"", 'modified': '2020-08-17T17:25:50Z'}","Most definitely needs a search option. Can’t keep scrolling to find what I want to watch

Update : they’ve added a search bar. Thanks",5,True,Search bar,Ejay2215
15,2022-09-20 07:17:24,,Thank you for Engaging us with Such a Wide Range Discussion on Every World Wide Critical Issue.  Only on your Network have made me turn to activism.  I’m much older then your target audience member lol.,5,False,"The Most Popular, Relevant Content We Need",Debby A. G
16,2021-12-14 06:31:59,,"When I downloaded the app I click don’t accept cookies and the app went blank. I then deleted the app and chose accept cookies to see if that would work and again the screen went black. If someone could help me fix this, I’d appreciate it.",3,False,Slight issue.,JayGrill
17,2020-08-12 16:05:12,,"The updated app is so much better than the old version! No more crashing, more content. Will be using this every day!",5,False,Refresh is so much better,Clothes4all
18,2020-12-04 12:14:49,,"The mobile site has a section called “latest”, which is a reverse chronological list of all the articles published. The app doesn’t have that. All I really want is to to see everything that’s been posted on Vice and associated sites since the last time I checked. I do this multiple times per day.",2,False,Mobile site is better,Matt554367
19,2022-04-20 18:00:22,,and it wont start again.  Get Notifications okay but click to open app and just a black screen. Opening app from Home does same thing.  VPN up or down. Phone was restarted on one troubleshooting session. Reinstall didn't correct either.  Will uninstall and circle back one day to see if fixed.,1,False,Stopped working one day,Black Screened
20,2021-07-19 05:51:56,,"I do love Vice content. But even though I do not choose “Life” as my content, it keeps showing me my horoscope for the very first daily content. Because I have no way to change this, I gave it a 3 star.",3,False,Why am I forced to look at my horoscope?,Southbay guy
21,2021-12-22 04:36:57,,"Essentially, the app will not work if you choose to opt out of allowing Vice to sell your information to third parties. Looks like this is from the update from a couple weeks ago and it’s a bit bizarre. App is basically unusable.",2,False,App doesn’t load if you opt out of selling your data,JustinMabee
22,2021-08-17 10:02:37,"{'id': 17332420, 'body': ""Hi honesty - we've just rolled out complete rewrite. Please update the app to the latest release and let us know if your issues have been addressed!\n"", 'modified': '2020-08-17T17:24:39Z'}",Every time I try to read an article with video multiple adds come up then the video plays with no way to pause or mute the video. Both the pause and mute buttons on the video played don’t work. It makes it impossible to just read an article.,2,True,Love vice but,honesty i$ the best policy
23,2020-09-10 13:38:57,"{'id': 19026070, 'body': 'Sharing should now work properly.  Bluetooth was for Chromecast support.  This has now been removed while the Chromecast teams works on fixing a bug.', 'modified': '2020-11-10T20:33:26Z'}","Lacks a landscape view
Share button doesn’t work
Asks for Bluetooth? Why?

I want an app, but the website is still the easiest way to access Vice’s work right now. I doubt I’ll be using this in its current state. Convince me to come back!",3,False,"Journalism is good, app needs work",8xwygg
24,2021-06-25 13:11:43,,"It’s difficult to scroll and look through the articles, as the list constantly refreshes due to loading ads. 

Articles that I’ve read already are still there in the list for days. 

The “for you” doesn’t make accurate or relevant predictions of what I like to read, and is mostly cooking videos? Which I’ve never watched. 

Sharing because I want to be able to use the app.",3,False,Keeps refreshing/ can’t scroll/ etc.,Whereswilbert?
25,2020-11-11 14:41:59,"{'id': 19026111, 'body': ""This is an issue we would like to address so please feel free to reach out to us at app@vice.com with details on the ads you're seeing so we can address them on the server side!"", 'modified': '2020-11-10T20:35:07Z'}","The stories are good but the ads are ridiculous. Play a video and you are going to have 2, 30 second ads every minute or so. 

Stick to the site and your ad blockers will work for you.",3,True,Too many ads,jo jo devil
26,2021-07-01 14:49:24,"{'id': 19026115, 'body': ""Thanks for your feedback, Leon-808.   We'll be changing this behavior in an upcoming version soon."", 'modified': '2020-11-10T20:35:42Z'}",After the recent update I’m no longer able to watch a full vice news show. The app keeps crashing after 10 to 15 minutes of streaming.,2,True,Updated Review - App keeps crashing after recent update,Leon-808
27,2022-08-10 22:15:09,,"Just stalled the app and wanted to restrict the selling of my info. I can’t tell when given the yodel option I can’t tell if I’m allowing or denying. Vague. 

Good news source.",4,False,Cookies setting?,Uytoitevhrtjjryioudfwh
28,2022-07-26 00:36:36,,"I am no programmer but I can’t see ANY reason for an app to not work in horizontal orientation. Tons of junk apps can do it, so should VICE.

Please fix. It makes you look really bad.",3,False,Oh no! Not another app that won’t go horizontal on iPad!,DamnThoseNicknames!
29,2022-12-02 18:00:16,,"No dark mode, jumpy loading, loss of scroll positioning- the app is trash. However it does function enough to use and vice is a good channel with good content.",4,False,"good news, not so good app",chumbytown
30,2023-03-15 03:03:35,,"When the app works it’s great but rarely does that happen. Very glitchy, articles don’t load, videos don’t load, etc. Constantly having to exit out and refresh the app. 

Come on Vice!",2,False,App is always crashing,ČamB.
31,2021-02-27 17:37:55,,"This platform has a reputation for writing twisted and/or completely false articles. One article was written about a parade and march I was at. Everything written within the article never even happened. If people at that march cared enough, I’m sure they could have had a nice slander/defamation case against Vice.",1,False,Quite a bit of the articles posted are fake,GrabbaBeer
32,2022-08-06 23:18:04,,The ads are intrusive which makes scrolling an article a nightmare.  It pathetic you can not read on your phone without being forced to deal with the ads opening up. I give it 1 star as it had potential but is a advertisement click bate sellout.,1,False,vice could be great,Ericbell2
33,2023-04-15 15:17:42,,I’ve tried signing in just says “unable to log you in” I’ve made two accounts and both give the message it can’t log me in.,2,False,Love vice but app isn’t working out.,Jay P.M.
34,2020-08-17 23:12:18,"{'id': 17564789, 'body': ""Hi sowza - glad to hear it's working better now!"", 'modified': '2020-08-28T16:00:42Z'}",They ask me to update my review.. looking a lot better and seems to be working. I like that combined several apps. 👌👌👌,4,False,Refresh seems to be working.,sowza
35,2023-04-05 13:34:44,,"Vice media 
OR
Vice TV

They never work! 

With Vice media I couldn’t even create an account. You save your progress and the screen disappears with no account made. 
Scrolling the tabs I found out there was only 10 articles available to read no matter which tab I was on due to another glitch. 

Vice tv would constantly log out of my acct/ tv provider and never play videos. 

I don’t know why I bother. But it really can’t be that hard to have a working app.",1,False,Vice has literally never had a working app,jdawg69420
